id,province_id,name,latitude,longitude
1217,12,KAB. SAMOSIR,2.64025,98.71525
1218,12,KAB. SERDANG BEDAGAI,3.36667,99.03333
1219,12,KAB. BATU BARA,3.16166,99.52652
1220,12,KAB. PADANG LAWAS UTARA,1.46011,99.67346
1221,12,KAB. PADANG LAWAS,1.44684,99.99207
1222,12,KAB. LABUHAN BATU SELATAN,1.983,100.0976
1223,12,KAB. LABUHAN BATU UTARA,2.33349,99.63776
1224,12,KAB. NIAS UTARA,1.33037,97.31964
1225,12,KAB. NIAS BARAT,1.05966,97.58606
1271,12,KOTA SIBOLGA,1.73333,98.8
1272,12,KOTA TANJUNG BALAI,2.95833,99.79167
1273,12,KOTA PEMATANG SIANTAR,2.96667,99.05
1274,12,KOTA TEBING TINGGI,3.325,99.14167
1275,12,KOTA MEDAN,3.65,98.66667
1276,12,KOTA BINJAI,3.8,108.23333
1277,12,KOTA PADANG SIDEMPUAN,1.37375,99.26843
1278,12,KOTA GUNUNGSITOLI,1.32731,97.55018
1301,13,KAB. KEPULAUAN MENTAWAI,1.98917,99.51889
1302,13,KAB. PESISIR SELATAN,-1.58333,100.85
1303,13,KAB. SOLOK,-0.96667,100.81667
1304,13,KAB. SIJUNJUNG,-1.1827,101.6056
1305,13,KAB. TANAH DATAR,-0.4555,100.5771
1306,13,KAB. PADANG PARIAMAN,-0.6,100.28333
1307,13,KAB. AGAM,-0.25,100.16667
1308,13,KAB. LIMA PULUH KOTA,-0.0168,100.5872
1309,13,KAB. PASAMAN,0.42503,99.94606
1310,13,KAB. SOLOK SELATAN,-1.23333,101.417
1311,13,KAB. DHARMASRAYA,-1.05,101.367
1312,13,KAB. PASAMAN BARAT,0.28152,99.51965
1371,13,KOTA PADANG,-0.98333,100.45
1372,13,KOTA SOLOK,-0.76667,100.61667
1373,13,KOTA SAWAH LUNTO,-0.6,100.75
1374,13,KOTA PADANG PANJANG,-0.45,100.43333
1375,13,KOTA BUKITTINGGI,-0.275,100.375
1376,13,KOTA PAYAKUMBUH,-0.23333,100.63333
1377,13,KOTA PARIAMAN,-0.62682,100.12047
1401,14,KAB. KUANTAN SINGINGI,-0.47532,101.45857
1402,14,KAB. INDRAGIRI HULU,-0.55,102.31667
1403,14,KAB. INDRAGIRI HILIR,-0.33333,103.16667
1404,14,KAB. PELALAWAN,0.20822,102.18607
1405,14,KAB. SIAK,0.97453,102.01355
1406,14,KAB. KAMPAR,0.2344,101.2131
1407,14,KAB. ROKAN HULU,0.88333,100.48333
1408,14,KAB. BENGKALIS,0.9838,102.5096
1409,14,KAB. ROKAN HILIR,2.16599,100.82514
1410,14,KAB. KEPULAUAN MERANTI,0.97488,102.69539
1471,14,KOTA PEKANBARU,0.53333,101.46667
1473,14,KOTA DUMAI,1.61592,101.4917
1501,15,KAB. KERINCI,-2.03333,101.53333
1502,15,KAB. MERANGIN,-2.06933,102.13303
1503,15,KAB. SAROLANGUN,-2.3,102.65
1504,15,KAB. BATANG HARI,-1.75,103.11667
1505,15,KAB. MUARO JAMBI,-1.55214,103.82163
1506,15,KAB. TANJUNG JABUNG TIMUR,-1.13198,103.61755
1507,15,KAB. TANJUNG JABUNG BARAT,-1.1544,103.24402
1508,15,KAB. TEBO,-1.45576,102.37473
1509,15,KAB. BUNGO,-1.50222,101.96
1571,15,KOTA JAMBI,-1.61667,103.65
1572,15,KOTA SUNGAI PENUH,-2.10896,101.32175
1601,16,KAB. OGAN KOMERING ULU,-4.13333,104.03333
1602,16,KAB. OGAN KOMERING ILIR,-3.36667,105.36667
1603,16,KAB. MUARA ENIM,-4.2327,103.6141
1604,16,KAB. LAHAT,-3.7864,103.5428
1605,16,KAB. MUSI RAWAS,-3.08333,103.2
1606,16,KAB. MUSI BANYU ASIN,-2.41667,103.75
1607,16,KAB. BANYU ASIN,-2.88333,104.38306
1608,16,KAB. OGAN KOMERING ULU SELATAN,-4.65728,104.00659
1609,16,KAB. OGAN KOMERING ULU TIMUR,-3.85679,104.75209
1610,16,KAB. OGAN ILIR,-3.43186,104.62727
1611,16,KAB. EMPAT LAWANG,3.22667,99.09256
1612,16,KAB. PENUKAL ABAB LEMATANG ILIR,-3.21342,104.08722
1613,16,KAB. MUSI RAWAS UTARA,-2.48533,103.29346
1671,16,KOTA PALEMBANG,-3,104.71667
1672,16,KOTA PRABUMULIH,-3.46202,104.2229
1673,16,KOTA PAGAR ALAM,-4.13055,103.26822
1674,16,KOTA LUBUK LINGGAU,-3.29308,102.85503
1701,17,KAB. BENGKULU SELATAN,-4.35,103.03333
1702,17,KAB. REJANG LEBONG,-3.43333,102.71667
1703,17,KAB. BENGKULU UTARA,-3.33333,102.05
1704,17,KAB. KAUR,-4.78179,103.36109
1705,17,KAB. SELUMA,-3.96644,102.47429
1706,17,KAB. MUKOMUKO,-3.07438,101.54766
1707,17,KAB. LEBONG,-3.24278,102.3349
1708,17,KAB. KEPAHIANG,-3.60194,102.56424
1709,17,KAB. BENGKULU TENGAH,-3.20679,102.12616
1771,17,KOTA BENGKULU,-3.81667,102.31667
1801,18,KAB. LAMPUNG BARAT,-5.14904,104.19309
1802,18,KAB. TANGGAMUS,-5.38508,104.62349
1803,18,KAB. LAMPUNG SELATAN,-5.4531,104.9877
1804,18,KAB. LAMPUNG TIMUR,-5.10273,105.68003
1805,18,KAB. LAMPUNG TENGAH,-4.86667,105.26667
1806,18,KAB. LAMPUNG UTARA,-4.81667,104.8
1807,18,KAB. WAY KANAN,-4.44705,104.52753
1808,18,KAB. TULANGBAWANG,-4.20604,105.57999
1809,18,KAB. PESAWARAN,-5.4298,105.17899
1810,18,KAB. PRINGSEWU,-5.42211,104.93454
1811,18,KAB. MESUJI,-4.0439,105.4013
1812,18,KAB. TULANG BAWANG BARAT,-4.43975,105.0444
1813,18,KAB. PESISIR BARAT,-5.19323,103.93976
1871,18,KOTA BANDAR LAMPUNG,-5.41667,105.25
1872,18,KOTA METRO,-5.11856,105.29949
1901,19,KAB. BANGKA,-1.91667,105.93333
1902,19,KAB. BELITUNG,-2.86667,107.7
1903,19,KAB. BANGKA BARAT,-1.95839,105.53741
1904,19,KAB. BANGKA TENGAH,-2.33989,106.1142
1905,19,KAB. BANGKA SELATAN,-2.66803,106.01257
1906,19,KAB. BELITUNG TIMUR,-2.9627,108.15216
1971,19,KOTA PANGKAL PINANG,-2.13333,106.13333
2101,21,KAB. KARIMUN,0.80764,103.41911
2102,21,KAB. BINTAN,0.95,104.61944
2103,21,KAB. NATUNA,4.71417,107.97639
2104,21,KAB. LINGGA,0.2,104.61667
2105,21,KAB. KEPULAUAN ANAMBAS,3,106
2171,21,KOTA BATAM,1.05211,104.02851
2172,21,KOTA TANJUNG PINANG,0.91683,104.44329
3101,31,KAB. KEPULAUAN SERIBU,-5.5985,106.55271
3171,31,KOTA JAKARTA SELATAN,-6.266,106.8135
3172,31,KOTA JAKARTA TIMUR,-6.2521,106.884
3173,31,KOTA JAKARTA PUSAT,-6.1777,106.8403
3174,31,KOTA JAKARTA BARAT,-6.1676,106.7673
3175,31,KOTA JAKARTA UTARA,-6.1339,106.8823
3201,32,KAB. BOGOR,-6.58333,106.71667
3202,32,KAB. SUKABUMI,-7.06667,106.7
3203,32,KAB. CIANJUR,-6.7725,107.08306
3204,32,KAB. BANDUNG,-7.1,107.6
3205,32,KAB. GARUT,-7.38333,107.76667
3206,32,KAB. TASIKMALAYA,-7.5,108.13333
3207,32,KAB. CIAMIS,-7.28333,108.41667
3208,32,KAB. KUNINGAN,-7,108.55
3209,32,KAB. CIREBON,-6.8,108.56667
3210,32,KAB. MAJALENGKA,-6.81667,108.28333
3211,32,KAB. SUMEDANG,-6.81667,107.98333
3212,32,KAB. INDRAMAYU,-6.45,108.16667
3213,32,KAB. SUBANG,-6.50833,107.7025
3214,32,KAB. PURWAKARTA,-6.58333,107.45
3215,32,KAB. KARAWANG,-6.26667,107.41667
3216,32,KAB. BEKASI,-6.24667,107.10833
3217,32,KAB. BANDUNG BARAT,-6.83333,107.48333
3218,32,KAB. PANGANDARAN,-7.6673,108.64037
3271,32,KOTA BOGOR,-6.59167,106.8
3272,32,KOTA SUKABUMI,-6.95,106.93333
3273,32,KOTA BANDUNG,-6.9175,107.62444
3274,32,KOTA CIREBON,-6.75,108.55
3275,32,KOTA BEKASI,-6.28333,106.98333
3276,32,KOTA DEPOK,-6.4,106.81667
3277,32,KOTA CIMAHI,-6.89167,107.55
3278,32,KOTA TASIKMALAYA,-7.35,108.21667
3279,32,KOTA BANJAR,-7.36996,108.53209
3301,33,KAB. CILACAP,-7.57417,108.98861
3302,33,KAB. BANYUMAS,-7.45,109.16667
3303,33,KAB. PURBALINGGA,-7.28417,109.35028
3304,33,KAB. BANJARNEGARA,-7.35111,109.5875
3305,33,KAB. KEBUMEN,-7.63917,109.66056
3306,33,KAB. PURWOREJO,-7.7,109.96667
3307,33,KAB. WONOSOBO,-7.36139,109.92667
3308,33,KAB. MAGELANG,-7.4275,110.16194
3309,33,KAB. BOYOLALI,-7.5,110.7
3310,33,KAB. KLATEN,-7.68333,110.61667
3311,33,KAB. SUKOHARJO,-7.68333,110.83333
3312,33,KAB. WONOGIRI,-7.91667,111
3313,33,KAB. KARANGANYAR,-7.62806,111.0625
3314,33,KAB. SRAGEN,-7.41278,110.935
3315,33,KAB. GROBOGAN,-7.11667,110.91667
3316,33,KAB. BLORA,-7.06667,111.38333
3317,33,KAB. REMBANG,-6.78333,111.46667
3318,33,KAB. PATI,-6.76667,111.1
3319,33,KAB. KUDUS,-6.8,110.86667
3320,33,KAB. JEPARA,-6.58333,110.76667
3321,33,KAB. DEMAK,-6.8993,110.6122
3322,33,KAB. SEMARANG,-7.20667,110.44139
3323,33,KAB. TEMANGGUNG,-7.25,110.11667
3324,33,KAB. KENDAL,-7.0256,110.1685
3325,33,KAB. BATANG,-7.03333,109.88333
3326,33,KAB. PEKALONGAN,-7.0319,109.624
3327,33,KAB. PEMALANG,-7.03333,109.4
3328,33,KAB. TEGAL,-7.03333,109.16667
3329,33,KAB. BREBES,-7.05,108.9
3371,33,KOTA MAGELANG,-7.5,110.225
3372,33,KOTA SURAKARTA,-7.55,110.81667
3373,33,KOTA SALATIGA,-7.33278,110.48333
3374,33,KOTA SEMARANG,-7.03333,110.38333
3375,33,KOTA PEKALONGAN,-6.9,109.68333
3376,33,KOTA TEGAL,-6.8686,109.1129
3401,34,KAB. KULON PROGO,-7.645,110.02694
3402,34,KAB. BANTUL,-7.9,110.36667
3403,34,KAB. GUNUNG KIDUL,-7.98333,110.61667
3404,34,KAB. SLEMAN,-7.68167,110.32333
3471,34,KOTA YOGYAKARTA,-7.8,110.375
3501,35,KAB. PACITAN,-8.13333,111.16667
3502,35,KAB. PONOROGO,-7.93333,111.5
3503,35,KAB. TRENGGALEK,-8.16667,111.61667
3504,35,KAB. TULUNGAGUNG,-8.11667,111.91667
3505,35,KAB. BLITAR,-8.13333,112.25
3506,35,KAB. KEDIRI,-7.83333,112.16667
3507,35,KAB. MALANG,-8.16667,112.66667
3508,35,KAB. LUMAJANG,-8.11667,113.15
3509,35,KAB. JEMBER,-8.25,113.65
3510,35,KAB. BANYUWANGI,-8.33333,114.2
3511,35,KAB. BONDOWOSO,-7.9404,113.9834
3512,35,KAB. SITUBONDO,-7.71667,114.05
3513,35,KAB. PROBOLINGGO,-7.86667,113.31667
3514,35,KAB. PASURUAN,-7.73333,112.83333
3515,35,KAB. SIDOARJO,-7.45,112.7
3516,35,KAB. MOJOKERTO,-7.55,112.5
3517,35,KAB. JOMBANG,-7.55,112.25
3518,35,KAB. NGANJUK,-7.6,111.93333
3519,35,KAB. MADIUN,-7.61667,111.65
3520,35,KAB. MAGETAN,-7.64472,111.35917
3521,35,KAB. NGAWI,-7.47444,111.33444
3522,35,KAB. BOJONEGORO,-7.25,111.8
3523,35,KAB. TUBAN,-6.96667,111.9
3524,35,KAB. LAMONGAN,-7.13333,112.31667
3525,35,KAB. GRESIK,-7.1933,112.553
3526,35,KAB. BANGKALAN,-7.05,112.93333
3527,35,KAB. SAMPANG,-7.05,113.25
3528,35,KAB. PAMEKASAN,-7.06667,113.5
3529,35,KAB. SUMENEP,-7.11667,114.33333
3571,35,KOTA KEDIRI,-7.83333,112.01667
3572,35,KOTA BLITAR,-8.1,112.16667
3573,35,KOTA MALANG,-7.975,112.63333
3574,35,KOTA PROBOLINGGO,-7.78333,113.21667
3575,35,KOTA PASURUAN,-7.65,112.9
3576,35,KOTA MOJOKERTO,-7.46667,112.43333
3577,35,KOTA MADIUN,-7.63333,111.53333
3578,35,KOTA SURABAYA,-7.26667,112.71667
3579,35,KOTA BATU,-7.83272,112.53751
3601,36,KAB. PANDEGLANG,-6.63333,105.75
3602,36,KAB. LEBAK,-6.65,106.21667
3603,36,KAB. TANGERANG,-6.2,106.46667
3604,36,KAB. SERANG,-6.15,106
3671,36,KOTA TANGERANG,-6.17944,106.62991
3672,36,KOTA CILEGON,-6.01667,106.01667
3673,36,KOTA SERANG,-6.12563,106.14999
3674,36,KOTA TANGERANG SELATAN,-6.29373,106.71244
5101,51,KAB. JEMBRANA,-8.3,114.66667
5102,51,KAB. TABANAN,-8.43333,115.06667
5103,51,KAB. BADUNG,-8.51667,115.2
5104,51,KAB. GIANYAR,-8.46667,115.28333
5105,51,KAB. KLUNGKUNG,-8.55,115.4
5106,51,KAB. BANGLI,-8.28333,115.35
5107,51,KAB. KARANG ASEM,-8.3891,115.5393
5108,51,KAB. BULELENG,-8.25,114.96667
5171,51,KOTA DENPASAR,-8.66667,115.21663
5201,52,KAB. LOMBOK BARAT,-8.69583,116.11667
5202,52,KAB. LOMBOK TENGAH,-8.7,116.3
5203,52,KAB. LOMBOK TIMUR,-8.53333,116.53333
5204,52,KAB. SUMBAWA,-8.7439,117.3324
5205,52,KAB. DOMPU,-8.5094,118.4816
5206,52,KAB. BIMA,-8.6,118.61667
5207,52,KAB. SUMBAWA BARAT,-8.75159,116.92132
5208,52,KAB. LOMBOK UTARA,-8.35214,116.40152
5271,52,KOTA MATARAM,-8.5833,116.1167
5272,52,KOTA BIMA,-8.46728,118.75259
5301,53,KAB. SUMBA BARAT,-9.56667,119.45
5302,53,KAB. SUMBA TIMUR,-9.88333,120.25
5303,53,KAB. KUPANG,-9.91667,123.83333
5304,53,KAB. TIMOR TENGAH SELATAN,-9.83333,124.4
5305,53,KAB. TIMOR TENGAH UTARA,-9.33136,124.51904
5306,53,KAB. BELU,-9.41258,124.95066
5307,53,KAB. ALOR,-8.3,124.56667
5308,53,KAB. LEMBATA,-8.41396,123.55225
5309,53,KAB. FLORES TIMUR,-8.24224,122.96817
5310,53,KAB. SIKKA,-8.66667,122.36667
5311,53,KAB. E9427,94,KAB. SUPIORI
9428,94,KAB. MAMBERAMO RAYA
9429,94,KAB. NDUGA
9430,94,KAB. LANNY JAYA
9431,94,KAB. MAMBERAMO TENGAH
9432,94,KAB. YALIMO
9433,94,KAB. PUNCAK
9434,94,KAB. DOGIYAI
9435,94,KAB. INTAN JAYA
9436,94,KAB. DEIYAI
9471,94,KOTA J SUMBA BARAT DAYA,-9.56216,119.08905
